-5.786508909061289785e+00,3.827345669912497472e-01
-5.436113773649214664e+00,3.424222205639638750e-01
-5.085678042054156300e+00,3.031143630235987318e-01
-4.736649713083100899e+00,2.667308976643062435e-01
-4.387369635487726072e+00,2.314224859089004660e-01
-4.039213342089809977e+00,1.981898141078170528e-01
-3.691302224500563334e+00,1.668086591929149320e-01
-3.344557533266349747e+00,1.379136752332167926e-01
-3.001355499931326332e+00,1.118378155909514060e-01
-2.661809186663683935e+00,8.849580832291448207e-02
-2.326951004909735499e+00,6.772897105254349626e-02
-1.997942224664722710e+00,4.990224690675390540e-02
-1.676011570255649730e+00,3.488542351331067048e-02
-1.361767127015454548e+00,2.266162770892340972e-02
-1.055913669193717208e+00,1.325931290053847245e-02
-7.584866261962638356e-01,6.411880041185799572e-03
-4.693949214734001174e-01,2.054566152703142523e-03
-1.881583170990733800e-01,-2.926804707863162047e-07
8.569117765826982092e-02,-2.757178467760468266e-07
3.530186549708227428e-01,1.740803732635735901e-03
6.145968071170370139e-01,4.964450859704525043e-03
8.714446616610339591e-01,9.740702248273239161e-03
1.123703251916974066e+00,1.563282162461848701e-02
1.372945843051145864e+00,2.163552850652417092e-02
1.618527355101236687e+00,2.960533514060367799e-02
1.861981058817437473e+00,3.750927606451326390e-02
2.104259909627907987e+00,4.641660012346482400e-02
2.345098419972930337e+00,5.584834399669169613e-02
2.585153819836162548e+00,6.545048433447725467e-02
2.824216459987915595e+00,7.589856351702584103e-02
3.062771769875286321e+00,8.632720780158431584e-02
3.301293400129969413e+00,9.724399250409326845e-02
3.539475963842537709e+00,1.086137056587093697e-01
3.777609629465878527e+00,1.203629476940827336e-01
4.015502318820248995e+00,1.325504109553248266e-01
4.253377244885129471e+00,1.453258614695555062e-01
4.491421192464073009e+00,1.585928289656828305e-01
4.729434371767233358e+00,1.723687147390497998e-01
4.967421450713406905e+00,1.866730875319863037e-01
5.205383884981046094e+00,2.015163362741372310e-01
5.442845671345049041e+00,2.171163472218478052e-01
5.680597367228502392e+00,2.333421260640290429e-01
5.918444873220957803e+00,2.502516853664527030e-01
6.156401952100507557e+00,2.679432477366673337e-01
6.394288399569197701e+00,2.865739927961425959e-01
6.631664772912256645e+00,3.066089875475849214e-01
6.869482313999339951e+00,3.283492544283832526e-01
7.107348456974199813e+00,3.518796517811471070e-01
7.345080218516384818e+00,3.773375258162063872e-01
7.581995922992001979e+00,4.048886900327166583e-01
7.817214694220063542e+00,4.347480553517286683e-01
8.052287245294911244e+00,4.678799280777743430e-01
